"","id","txt","date","like","video","reply","re_reply","like_video"
"18","youngdumbyouth_sale","check     knit                 knit                                                      dm ","2021년 3월 19일",2,NA,"","  #빈티지 #빈티지패션 #여성빈티지 #세컨핸드 #여자코디 #제주도맛집 #고양이 #부산카페 #패션 #소통 #일상 #데일리 #좋아요 #옷스타그램 #오오티디 #부산빈티지 #동묘 #빈티지룩 #수입빈티지 #코트 #니트 #원피스 #버버리 #청바지 #가디건 #슬리브리스 #부츠",2
"19","youngdumbyouth_sale","check     skirt                skirt                                           dm ","2021년 3월 19일",6,NA,"","  #빈티지 #빈티지패션 #여성빈티지 #세컨핸드 #여자코디 #제주도맛집 #고양이 #부산카페 #패션 #소통 #일상 #데일리 #좋아요 #옷스타그램 #오오티디 #부산빈티지 #동묘 #빈티지룩 #수입빈티지 #코트 #니트 #원피스 #버버리 #청바지 #가디건 #슬리브리스 #부츠",6
"20","dream_30___","      너무나 만족스러웠던  제주도 어딘가     ","2021년 3월 19일",6,NA," #제주도 #제주도여행 #제주도맛집 #제주맛집 #여행스타그램 #여행에미치다 #여행 #여행지추천 #여행사진 #캠핑 #캠핑장 #차박 #글램핑 #여행기록 #일상 #소통 #공유 #맞팔 #일상기록 #여행스타그램 #등산 #자전거 #헤어 #맛집투어 #맛집여행 #맛집탐방 #맥주 #맥주스타그램",NA,6
"21","jeju_berry"," #제주라울 #라울   #제주도 #박수기정 #제주레스토랑 #제주도맛집 #서귀포맛집 #대평포구 #오설록 #와인 #제주 #맛스타그램 #제주여행 #먹방 #대평리맛집 #산방산 #제주맛집투어 #서귀포레스토랑 #중문관광단지 #중문맛집 #대평리 #카멜리아힐 #raul   #올레길 #jeju #티본스테이크 #안덕계곡 #서귀포파스타 #제주파스타 #steak","2021년 3월 19일",5,NA,NA,NA,5
"22","jeju_berry"," #제주라울 #라울   #제주도 #박수기정 #제주레스토랑 #제주도맛집 #서귀포맛집 #대평포구 #오설록 #와인 #제주 #맛스타그램 #제주여행 #먹방 #대평리맛집 #산방산 #제주맛집투어 #서귀포레스토랑 #중문관광단지 #중문맛집 #대평리 #카멜리아힐 #raul   #올레길 #jeju #티본스테이크 #안덕계곡 #서귀포파스타 #제주파스타 #steak","2021년 3월 19일",4,NA,NA,NA,4
"23","ceonjiha486","  진한 돼지육수에 제주산 생 돼지고기를 삶아 편육을 올려낸 제주고기국수   imdeoghong   삼무국수 본점 제주 제주시 삼무로 길      영업시간   매일                  째주 화요일 휴무                 #제주도고기국수 #제주고기국수 #고기국수 #삼무국수 #제주도맛집 #제주맛집 #고기국수맛집 #제주도공항맛집 #제주공항맛집 #제주현지인맛집 #제주연동맛집 #제주고기국수맛집 #제주공항고기국수 #제주공항근처맛집 #제주공항근처고기국수 #맞팔하기 #좋아요폭탄 #좋아요굿 #댓글반사 #맞팔은댓 #맞팔은댓글","2021년 3월 19일",1,NA,NA,NA,1
"24","aribbon_","절개포인트스커트  s  m 진행해요  ","2021년 3월 19일",8,NA,""," #광주옷가게  #동명동  #제주도카페  #제주도맛집  #경주카페  #맞팔  #대구카페  #선팔  #좋아요  #천안옷가게  #데일리템  #데일리룩  #순천옷가게  #어리본  #대구옷가게  #청주옷가게  #청주카페  #대전카페  #순천맛집  #순천카페  #진주카페  #대전옷가게  #진주옷가게  #동명동맛집  #목포카페  #담양카페  #부산카페  #여수옷가게  #여수카페  #청주지하상가",8
"25","jbbqsomething"," #JBBQSOMETHING  #jbbqsomething  #제이비비큐썸씽                                                                                                                                                                                    #BBQ  #bbq  #생맥주  #맥주      제주 송악산 맛집 제이비비큐썸씽      JBBQ SOMETHING  제주특별자치도 서귀포시 대정읍 형제해안로      대정읍 상모리        영업시간                            ","2021년 3월 19일",1,NA,NA,NA,1
"26","youngdumbyouth_sale","check     knit                 knit                                                      dm ","2021년 3월 19일",7,NA,"","  #빈티지 #빈티지패션 #여성빈티지 #세컨핸드 #여자코디 #제주도맛집 #고양이 #부산카페 #패션 #소통 #일상 #데일리 #좋아요 #옷스타그램 #오오티디 #부산빈티지 #동묘 #빈티지룩 #수입빈티지 #코트 #니트 #원피스 #버버리 #청바지 #가디건 #슬리브리스 #부츠",7
"27","soyamii","  애월 로드    성게크림파스타 흑돼지함박스테이크 흑돼지치즈돈까스 훅돼지수제돈까스 해물야끼소바   전메뉴 포장가능 사전 전화주문시 빠른포장 가능하세요               #애월맛집 #제주맛집 #애월읍맛집 #애월항맛집 #제주애월점심 #애월맛집추천 #제주애월맛집 #애월점심추천 #애월밥집 #제주현지인맛집 #제주도민추천맛집 #제주도현지인맛집 #도민맛집 #제주혼밥 #제주시맛집 #제주도맛집 #금능맛집 #한림맛집 #협재맛집 #협재해수욕장맛집 #곽지해수욕장맛집 #더럭분교맛집 #애월해안도로 #제주서쪽맛집 #애월데이트코스 #새별오름 #애월카페","2021년 3월 19일",1,NA,NA,NA,1
"28","crabpot_"," #크랩팟테우 제주의 바다 근처에서 킹크랩  랍스타 등을 맛볼수 있는 신상 맛집  속이 꽉차고 통통한 킹크랩 등을 먹을 수 있다는데 안갈 수 있나요   맛있는 요리도 사랑하는 사람과 함께 먹어야 더 맛있다고  함께 방문하셔서 맛있는 요리를 즐겨보세요  _    [위치] 제주 제주시 테우해안로      [문의]                 #제주맛집  #제주도맛집  #제주시맛집  #이호테우해변맛집  #이호테우해변  #제주시내맛집  #제주공항맛집  #제주핫플  #제주먹방  #제주맛집추천  #제주킹크랩  #제주대게  #제주해산물  #연동맛집  #노형동맛집  #제주해산물맛집  #크랩팟","2021년 3월 19일",0,NA,NA,NA,0
"29","youngdumbyouth_sale","check     pants                 pants                                                                 dm ","2021년 3월 19일",6,NA,"","  #빈티지 #빈티지패션 #여성빈티지 #세컨핸드 #여자코디 #제주도맛집 #고양이 #부산카페 #패션 #소통 #일상 #데일리 #좋아요 #옷스타그램 #오오티디 #부산빈티지 #동묘 #빈티지룩 #수입빈티지 #코트 #니트 #원피스 #버버리 #청바지 #가디건 #슬리브리스 #부츠",6
"30","hamduk.lazyhouse","  제주도의 핫한 함덕해변 독채형 가족펜션인 게으르게펜션 입니다    바쁜 일상에서 잠시 게으름으로 힐링해 보세요  ^^   함덕에는 맛집도 많고 가까운곳에 서우봉  에코랜드등 많은 명소가 있습니다         #제주도펜션  #제주펜션  #함덕펜션  #함덕해수욕장펜션  #게으르게펜션  #함덕해변펜션  #조천펜션  #서우봉  #에코랜드  #함덕숙박  #조천숙박  #제주도숙박  #함덕독채펜션  #제주도독채펜션  #제주공항펜션  #함덕해변  #함덕해수욕장  #함덕맛집  #선팔하면맞팔가요  #맞팔해요  #제주도맛집","2021년 3월 19일",3,NA,NA,NA,3
"31","silver1830","해물라면 비쥬얼      #제주도  #제주도여행  #제주도맛집  #협재해녀의집  #해물라면  #문어숙회","2021년 3월 19일",4,NA,NA,NA,4
"32","in_the_air_jeju","   #인디에어제주 정상영업중입니다  모든메뉴 포장가능해요        공지사항  통닭은 미리 구워두면 맛이 떨어지기 때문에 특히 요즘 같은때에는 더더욱 한번에 많은 양의 닭을 굽지 안아요  시간차를 두고 여러번 굽기는 하지만 소진이 빠를 수 있어 미리 전화나 문자로 연락주시면 원하는 시간에 포장 또는 매장에서 식사 가능하시니 이점 숙지하시어 기다리시는 일 없으시길 바랍니다   감사합니다                                                                                           Open       Last order                                                                                                                                                  #intheair                               #daily                                                                                                                                 ","2021년 3월 19일",8,NA,NA,NA,8
"33","youngdumbyouth_sale","check     knit                 knit                                                      dm ","2021년 3월 19일",7,NA,"","  #빈티지 #빈티지패션 #여성빈티지 #세컨핸드 #여자코디 #제주도맛집 #고양이 #부산카페 #패션 #소통 #일상 #데일리 #좋아요 #옷스타그램 #오오티디 #부산빈티지 #동묘 #빈티지룩 #수입빈티지 #코트 #니트 #원피스 #버버리 #청바지 #가디건 #슬리브리스 #부츠",7
"34","hanjuhee0531","이렇게 큰 피자 처음 봠수다 ","2021년 3월 19일",24,NA,"","  #제주도맛집  #제주도  #맛집탐방  #맛집추천  #곶자왈화덕피자  #피자  #피자맛집  #대왕피자  #pizza  #good  #일상스타그램  #좋아요  #먹스타그램  #맛스타그램  #먹방  #데일리  #daily  #likesforlike  #love  #소띠아들맘  #예비맘  #체중관리  #느끼해",24
"35","hiz2ang","체크슬랙스는 입는 동시 꿍띠 빵빵  ","2021년 3월 19일",36,NA,"_","  #selfie #selca #dailylook #ootd #셀스타그램 #데일리룩 #일상룩 #꾸안꾸룩 #데이트룩 #젊줌마 #며느리룩 #하객룩 #로로피아나 #모임룩 #슬랙스 #가디건 #여자자켓 #무료배송 #바지맛집 #수입의류 #여성수입의류 #제주도맛집 #수입보세 #맨투맨 #호캉스 #좋아요 #맞팔 #조거팬츠 #체크슬랙스",36
"36","youngdumbyouth_sale","check     skirt                 skirt                                           dm ","2021년 3월 19일",4,NA,"","  #빈티지 #빈티지패션 #여성빈티지 #세컨핸드 #여자코디 #제주도맛집 #고양이 #부산카페 #패션 #소통 #일상 #데일리 #좋아요 #옷스타그램 #오오티디 #부산빈티지 #동묘 #빈티지룩 #수입빈티지 #코트 #니트 #원피스 #버버리 #청바지 #가디건 #슬리브리스 #부츠",4
"37","pacific_hwang_pd","엘마리노 브런치메뉴 개발중  열씸열씸    #퍼시픽리솜   #퍼시픽랜드   #엘마리노   #요트투어   #제주맛집   #제주도맛집   #제주중문맛집   #제주핫플레이스   #제주핫플      #제주즐길거리   #제주즐기기   #더클리프   #제주도가볼만한곳      #서귀포가볼만한곳   #음식사진   #음식사진촬영   #셀프카페","2021년 3월 19일",2,NA,NA,NA,2
"38","youngdumbyouth_sale","check     cardigan                cardigan free                           dm ","2021년 3월 19일",4,NA,"","  #빈티지 #빈티지패션 #여성빈티지 #세컨핸드 #여자코디 #제주도맛집 #고양이 #부산카페 #패션 #소통 #일상 #데일리 #좋아요 #옷스타그램 #오오티디 #부산빈티지 #동묘 #빈티지룩 #수입빈티지 #코트 #니트 #원피스 #버버리 #청바지 #가디건 #슬리브리스 #부츠",4
"39","aderrahmanebouali","공항에서 가까운곳으로 찾아간  #제주분식 좋은선택이었다    제주분식 전화                주소   제주시 귀아랑길     제주공항  분거리   #제주현지인맛집 #제주맛집 #제주도맛집 #제주공항맛집 #연동맛집 #연동제주분식 #제주도공항근처맛집 #제주도여행 #제주가볼만한곳 #노형동맛집","2021년 3월 19일",1,NA,NA,NA,1
"40","pacific_hwang_pd","엘마리노 브런치 메뉴개발중      #퍼시픽리솜   #퍼시픽랜드   #엘마리노   #요트투어   #제주맛집   #제주도맛집   #제주중문맛집   #제주핫플레이스   #제주핫플      #제주즐길거리   #제주즐기기   #더클리프   #제주도가볼만한곳      #서귀포가볼만한곳   #음식사진   #음식사진촬영   #셀프카페","2021년 3월 19일",2,NA,NA,NA,2
"41","graceyumyumyum"," #grace_jeju   그러므로part  Food         제주시 공항근처 예쁜카페를 찾는다면 여기를 추천해용   마지막날인 오늘 뭘할까 고민하다가 벚꽃이 예쁘게 피어서 산책하기도좋은 한림수목원에 갔다가 피자를먹고 이카페를 가면 딱좋은 코스여서 다녀왔어요    너무 친절하셔서 좋았는데 생각보다 그렇게 자리가 많지않더라구요  저흰 일찍가서 앉앗만 늦었으면 자리 잡기 어려웠을듯해요   근데 하나하나 자리도 너무 예뻐서 맘에들었어요   밖에서 날씨 좋은날 먹으면 더 좋을듯해요  시그니처인 얼음은 없지만 아이스라떼인 메리하하까지 너무 신기한 메뉴였어요   아이스크림은 유기농바닐라 였구 블루베리 타르트도 굳이였답니당       끝까지 넘겨서 너무 예쁜 제주 벚꽃보고가세용  ","2021년 3월 19일",19,NA,""," #맞팔후댓글  #중문카페  #그러므로part2  #애월맛집  #애월카페  #제주도맛집  #애월맛집  #제주도카페  #서귀포카페  #그러므로파트2  #likeforlikes  #likeforfollow  #followforfollowback  #instalike",19
"42","jejuyogi_","  만족도 끝판왕 찍는 독채펜션   애월 #애월의남자_미아리조트   외관부터 인증샷을 부르는 비주얼과 가족펜션은 물론 커플들끼리 함께 놀러오기에도 손색없는 시설과 넓은 야외풀장까지   독채펜션으로 가진 장점들은 여기 다 있음   어서 저장해놓구 예약하러 가보쟈     위치 제주 제주시 애월읍 유수암리          홈페이지 http   mia resort com index php   인스타그램  man_in_aewol   예약문의                #선팔하면맞팔  #선팔하면맞팔가요  #맞팔     #디엠  #좋반환영  #좋반댓  #먹스타  #먹스타그램  #음식스타그램  #likeforlikes  #제주맛집  #제주도맛집  #애월맛집  #서귀포맛집  #제주맛집  #제주펜션추천  #제주도펜션  #제주도여행  #제주도가족펜션  #제주독채펜션  #제주숙소  #제주도숙소  #제주도독채펜션  #오션뷰맛집  #제주오션뷰  #애월펜션  #애월숙소  #애월의남자  #미아리조트  #제주미아리조트","2021년 3월 19일",35,NA,"메모메모 체크체크",NA,35
"43","jungjae0508","     #인쌩맥주  #먹태      아    치킨이랑 감튀에 시즈닝폭탄 시르다    이케나오는지 몰랏음         시즈닝 강한고 시른데  넘강하다   잘못시켯다    먹태랑 먹어야겠다   역시  어린이들이 오는곳인가             #치킨 #감자튀김 #천안맛집  #치느님 #해장국 #혼밥 #혼술 #홈파티 #요리사 #참이슬 #korea #플레이팅 #맛집 #안주 #수원 #수원맛집 #먹방 #소주 #요리 #술스타그램 #요리스타그램 #재희포차 #온더테이블 #수원맛집 #부산맛집 #제주도맛집 #요리하는남자 #레시피테러리스트","2021년 3월 19일",48,NA,"맥주땡기고싶어져요",NA,48
"44","burgeryo_jeju","탁월한 선택이십니다  우리 대게버거와 블루문 그리고 핸드드립 커피   맛있게 드세요     #버거요 #제주맛집 #제주도맛집 #제주맛집추천 #제주도맛집추천 #애월맛집 #애월맛집추천 #한림맛집 #곽지맛집 #제주수제버거 #제주핫플 #제주핫플레이스 #제주공항맛집 #제주공항근처맛집 #제주여행 #제주도여행 #곽지해수욕장 #제주시맛집","2021년 3월 19일",5,NA,NA,NA,5
"45","loha_traveller_the_dog","제주도의 밤을 뜨겁게   아직 추운 밤  장작불 그리고 로하 장난감과 뜨겁게 보내고 왔어요         어둠속에서 은은한 양초들이 불을 밝혀주고 그속에서 트릿 안빠진다고 남편에게 도움을 청하는 귀염댕이들  ","2021년 3월 19일",40,NA,"역시 밤에는 양초가","  #제주도  #제주도여행  #제주도여행코스  #제주도카페  #제주도맛집  #애월맛집  #애월카페  #서귀포맛집  #서귀포카페  #제주도강아지동반  #대한민국구석구석  #강아지모델  #맞팔선팔환영  #견주소통  #견주소통환영  #선팔  #맞팔  #daily  #좋반  #일상  #소통  #멍집사  #멍집사그램  #데일리  #애월숙소  #협재숙소",40
"46","youngdumbyouth_sale","check     skirt                            dm ","2021년 3월 19일",3,NA,"","  #빈티지 #빈티지패션 #여성빈티지 #세컨핸드 #여자코디 #제주도맛집 #고양이 #부산카페 #패션 #소통 #일상 #데일리 #좋아요 #옷스타그램 #오오티디 #부산빈티지 #동묘 #빈티지룩 #수입빈티지 #코트 #니트 #원피스 #버버리 #청바지 #가디건 #슬리브리스 #부츠",3
"47","shinaeleeeee","마지막저녁   #애월찜 #애월맛집 #제주맛집 #제주도맛집 #제주공항근처맛집","2021년 3월 19일",6,NA,"우와",NA,6
"48","jejuplanets","  만족도 끝판왕 찍는 독채펜션   애월 #애월의남자_미아리조트   외관부터 인증샷을 부르는 비주얼과 가족펜션은 물론 커플들끼리 함께 놀러오기에도 손색없는 시설과 넓은 야외풀장까지   독채펜션으로 가진 장점들은 여기 다 있음   어서 저장해놓구 예약하러 가보쟈     위치 제주 제주시 애월읍 유수암리          홈페이지 http   mia resort com index php   인스타그램  man_in_aewol   예약문의                #선팔하면맞팔  #선팔하면맞팔가요  #맞팔     #디엠  #좋반환영  #좋반댓  #먹스타  #먹스타그램  #음식스타그램  #likeforlikes  #제주맛집  #제주도맛집  #애월맛집  #서귀포맛집  #제주맛집  #제주펜션추천  #제주도펜션  #제주도여행  #제주도가족펜션  #제주독채펜션  #제주숙소  #제주도숙소  #제주도독채펜션  #오션뷰맛집  #제주오션뷰  #애월펜션  #애월숙소  #애월의남자  #미아리조트  #제주미아리조트","2021년 3월 19일",74,NA,"뷰 대박",NA,74
"49","youngdumbyouth_sale","check     cardigan                 cardigan                                                      dm ","2021년 3월 19일",3,NA,"","  #빈티지 #빈티지패션 #여성빈티지 #세컨핸드 #여자코디 #제주도맛집 #고양이 #부산카페 #패션 #소통 #일상 #데일리 #좋아요 #옷스타그램 #오오티디 #부산빈티지 #동묘 #빈티지룩 #수입빈티지 #코트 #니트 #원피스 #버버리 #청바지 #가디건 #슬리브리스 #부츠",3
"50","jx_xhwa","하늘 진짜 예쁨 뿜뿜               #곽지바다  #애월바다  #제주도맛집  #제주도여행  #제주도스냅  #여행스타그램  #여행사진  #travelgram  #바다스타그램  #랜선여행  #travelphotography  #photogram  #사진스타그램  #바다여행  #여행지추천  #하늘스타그램  #skyphotography                                      #선팔맞팔환영                                                                                            #좋반테러반사","2021년 3월 19일",30,NA,NA,NA,30
"51","aweol_road129","  애월 로드    성게크림파스타 흑돼지함박스테이크 흑돼지치즈돈까스 훅돼지수제돈까스 해물야끼소바   전메뉴 포장가능 사전 전화주문시 빠른포장 가능하세요               #애월맛집 #제주맛집 #애월읍맛집 #애월항맛집 #제주애월점심 #애월맛집추천 #제주애월맛집 #애월점심추천 #애월밥집 #제주현지인맛집 #제주도민추천맛집 #제주도현지인맛집 #도민맛집 #제주혼밥 #제주시맛집 #제주도맛집 #금능맛집 #한림맛집 #협재맛집 #협재해수욕장맛집 #곽지해수욕장맛집 #더럭분교맛집 #애월해안도로 #제주서쪽맛집 #애월데이트코스 #새별오름 #애월카페 #제주데이트코스","2021년 3월 19일",1,NA,NA,NA,1
